from,to,relation,time,weightJD,weightAH,event
CD,JD,sechs,1963,b,,
CD,AH,sechs,,,a,
IB,JD,zwei,1980,b,,
IB,AH,,,,a,
BP,JD,vier,2015,b,,
BP,AH,,,,a,
GD,JD,zwei,2002,b,,
GD,AH,,,,a,
KJ,JD,,,b,,
KJ,AH,vier,2012,,a,
LA,JD,vier,2015,a,,
LA,AH,vier,2015,,a,
DK,JD,fünf,2014,b,,
DK,AH,fünf,2014,,a,
AH,FA,,,,,FA
DK,FA,,,,,FA
DL,JD,fünf,2015,b,,
DL,FA,,,,,FA
DL,AH,,,,a,FA
DL,DK,eins,,,,FA
BK,FA,,,,,FA
BK,JD,vier,,c,,FA
BK,AH,,,,c,FA
KW,JD,eins,1997,b,,
KW,JD,zwei,,b,,
KW,AH,,,,a,
RM,FA,,,,,FA
RM,JD,sieben,2022,b,,FA
RM,AH,sieben,2022,,a,FA
SB,JD,vier,2011,b,,
SB,AH,,,,a,
TM,JD,vier,2013,b,,
TM,AH,,,,a,
TR,JD,vier,2013,b,,
TR,AH,,,,a,
MS,JD,sieben,2016,b,,PE
MS,PE,,,,,PE
MS,AH,sieben,2016,,a,PE
MS,TH,eins,,,,PE
SC,JD,vier,2022,b,,
SC,AH,,,,a,
AR,JD,vier,2013,c,,
AR,AH,vier,2013,,c,
TD,JD,sieben,,b,,
TD,AH,eins,2018,,a,
JW,JD,vier,,b,,
JW,AH,,,,a,
DB,JD,sieben,2022,c,,
DB,AH,sieben,2022,,c,
EF,JD,fünf,,c,,
EF,AH,fünf,2014,,c,
MSP,JD,vier,2022,c,,
MSP,AH,,,,c,
LW,JD,vier,2016,b,,
LW,AH,,,,a,
CC,JD,vier,2016,c,,
CC,AH,vier,2016,,c,
CC,JD,zwei,,,,
CC,AH,zwei,,,,
EW,JD,vier,2016,b,,
EW,AH,,,,a,
SJ,JD,vier,1992,b,,KOT
SJ,KOT,,,,,KOT
SJ,AH,,,,a,KOT
MC,JD,vier,1999,b,,
MC,AH,,,,a,
DH,JD,,,a,,
DH,AH,fünf,2019,,b,
KM,JD,drei,1994,b,,
KM,AH,,,,a,
TH,JD,sieben,2016,b,,PE
TH,AH,sieben,2016,,a,PE
TH,PE,,,,,PE
WG,JD,sieben,2016,b,,PE
WG,PE,,,,,PE
WG,AH,sieben,2016,,a,PE
WHE,JD,sechs,2014,b,,
WHE,AH,sechs,1987,,a,
JH,JD,,,a,,
JH,AH,,,,b,
EB,JD,drei,1998,a,,
EB,AH,,,,b,
TJ,JD,vier,1986,a,,
TJ,AH,,,,b,
JM,JD,vier,1999,a,,
JM,AH,,,,b,
DS,JD,sieben,2022,a,,FA
DS,AH,sieben,2022,,b,FA
DS,FA,,,,,FA
DRM,JD,sieben,2022,a,,
DRM,AH,sieben,2022,,b,
KA,JD,sieben,2022,a,,
KA,AH,sieben,2022,,b,
TN,JD,sieben,2022,a,,
TN,AH,sieben,2022,,b,
TW,JD,,,a,,
TW,AH,zwei,2011,,b,
WH,JD,,,b,,
WH,AH,eins,2016,,a,
DKU,JD,fünf,2015,b,,
DKU,AH,,,,a,
MK,JD,sieben,2013,b,,
MK,AH,sieben,2013,,a,
JDR,JD,acht,,b,,WK
JDR,WK,,,,,WK
JDR,AH,,,,a,
RP,JD,,,b,,
RP,AH,zwei,,,a,
VP,JD,drei,,b,,
VP,AH,,,,a,
WR,JD,drei,,b,,
WR,AH,,,,a,
BN,JD,sieben,,b,,
BN,AH,sieben,,,a,
JA,JD,sieben,,a,,
JA,AH,sieben,,,b,
ABA,JD,null,,a,,
ABA,AH,fünf,,,b,
LB,JD,fünf,,a,,FA
LB,FA,,,,,FA
LB,AH,fünf,,,b,FA
AB,JD,fünf,,c,,
AB,AH,,,,c,
LD,JD,,,b,,
LD,AH,zwei,,,a,
TH,MS,eins,,,,
MS,TH,eins,,,,
WG,TH,eins,,,,
TH,WG,eins,,,,
WG,MS,eins,,,,
MS,WG,eins,,,,
WH,BP,eins,,,,
BP,WH,eins,,,,
WH,JH,eins,,,,
WH,JH,zwei,,,,
JH,WH,eins,,,,
JH,WH,zwei,,,,
TW,BP,eins,,,,
BP,TW,eins,,,,
JD,CV,vier,,,,
JD,CV,drei,,,,
AH,CV,,,,,
JD,BC,vier,,,,
AH,BC,,,,,
JD,EBR,,,,,
AH,EBR,vier,,,,
JD,BR,,,,,
AH,BR,vier,,,,
IB,BP,eins,,,,
BP,IB,eins,,,,
IB,WK,,,,,WK
IB,JD,,,,,WK
RP,JD,,,,,WK
RP,WK,,,,,
RP,JDR,drei,,,,
WHE,JD,,,,,WK
JDR,WK,,,,,WK
JDR,JD,,,,,WK
TW,JD,,,,,WK
TW,WK,,,,,WK